UK	UNIQUE_GLOSS	ENGLISH_GLOSS	LWT_KEY	LWT_GLOSS	PART_OF_SPEECH	SEMANTIC_FIELD	OMEGA_WIKI	EXAMPLE CONTEXT/EXPLANATION	ENGLISH_GLOSS	SPANISH_GLOSS	Alternative Omega Wiki Links	FRENCH_GLOSS	PORTUGUESE_GLOSS	GERMAN_TRANSLATION	RUSSIAN_GLOSS
537	THE SALIVA	saliva	4.9991	the saliva	Noun	The body	http://www.omegawiki.org/DefinedMeaning:spit_(6259)		saliva	saliva		-	-	-	-
539	THE STRENGTH	strength	4.99912	the strength	Noun	The body	http://www.omegawiki.org/DefinedMeaning:strength_(1112610)		strength	fuerza		-	-	-	-
540	THE UMBILICAL CORD	umbilical cord	4.99913	the umbilical cord	Noun	The body	http://www.omegawiki.org/DefinedMeaning:umbilical_cord_(7691)		umbilical cord	cordón umbilical		-	-	-	-
781	THE BENCH	bench	7.99901	the bench	Noun	The house	http://www.omegawiki.org/DefinedMeaning:banco_(7489)		bench	banco		-	-	-	-
784	THE GUESTROOM	guestroom	7.99904	the guestroom	Noun	The house	http://www.omegawiki.org/DefinedMeaning:Gästezimmer_(421045)		guestroom	habitación de invitados		-	-	-	-
783	THE GRIDDLE	griddle	7.99903	the griddle	Noun	The house	http://www.omegawiki.org/DefinedMeaning:griddle_(1510592)		griddle	plancha		-	-	-	-
785	THE MOSQUITO NET	mosquito net	7.99905	the mosquito net	Noun	The house	http://www.omegawiki.org/DefinedMeaning:mosquito_net_(1510596)		mosquito net	mosquitera		-	-	-	-
786	THE ROOF TILE	roof tile	7.99906	the roof tile	Noun	The house	http://www.omegawiki.org/DefinedMeaning:roof%20tile%20(1510600)		roof tile	tejado, techo		-	-	-	-
782	THE CASE	case	7.99902	the case	Noun	The house	NA		case	-		-	-	-	-
83	THE BEACH	beach	1.99901	the beach	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:beach_(321)	Sandy place on the water shore	beach	playa		plage	-	Strand	-
93	TO BLAZE	blaze	1.99911	to blaze	Verb	The physical world	http://www.omegawiki.org/DefinedMeaning:blaze_(1510369)		to blaze	resplandecer, brillar ?	http://www.omegawiki.org/DefinedMeaning:blaze_(1510372)	flamber, monter	-	aufflammen	-
84	THE COAL	coal	1.99903	the coal	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:coal_(625)	black rock from fossilised carbon	coal	carbón		charbon	-	Kohle	-
85	THE CONSTELLATION	constellation	1.99904	the constellation	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:constellation_(688481)	collection of stars with a culturally determined importance	constellation	constelación		constellation	-	Konstellation	-
94	TO MELT	melt	1.99912	to melt	Verb	The physical world	http://www.omegawiki.org/DefinedMeaning:fondre_(512864)		to melt	derretir	http://www.omegawiki.org/DefinedMeaning:fondre_(512896)	fondre	-	schmelzen	-
86	THE JADE	jade	1.99905	the jade or jadeite	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:jade_(535205)	green silicate mineral used in ornaments (jadeite or nephrite)	jade	jade		jade	-	Jade	-
88	THE LOAM	loam	1.99906	the loam	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:loam_(1505710)	a rich soil consisting of a mixture of sand and clay and decaying organic materials	loam	barro, lodo ?		terreau	-	Lehm	-
90	THE RIVER MOUTH	river mouth	1.99908	the river mouth	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:Mündung_(700006)		river mouth	desembocadura		embouchure	-	Flussmündung	-
92	THE SPRING	spring	1.9991	the spring	Noun	The physical world	http://www.omegawiki.org/DefinedMeaning:spring_(6361)		spring	primavera ?		printemps	-	Frühling	-
91	THE SHORT DRY SEASON	short dry season	1.99909	the short dry season	Noun	The physical world	NA		short dry season	corta estación seca ?		-	-	Trockenzeit	-
1375	THE CHINESE NEW YEAR	Chinese New Year	14.99901	Chinese New Year	Noun	Time	http://www.omegawiki.org/DefinedMeaning:Chinese%20New%20Year%20(1511035)		Chinese New Year	-		-	-	-	-
1376	LONG AGO	long ago	14.99902	long ago	Adverb	Time	http://www.omegawiki.org/DefinedMeaning:long_ago_(1511039)		long ago	-		-	-	-	-
1377	THE NEW YEAR	New Year	14.99903	New Year	Noun	Time	http://www.omegawiki.org/DefinedMeaning:New_Year_(403368)		New Year	-		-	-	-	-
1378	THE PERIOD	period	14.99905	the period	Noun	Time	http://www.omegawiki.org/DefinedMeaning:period_(343420)		period	-		-	-	-	-
1379	THE TIME (REOCCURRING OCCASION ON WHICH SOMETHING HAPPENS)	time	14.99906	the time(2)	Noun	Time	http://www.omegawiki.org/DefinedMeaning:time_(1511042)		time(2)	-		-	-	-	-
1749	TO ATTACK	attack	20.99907	to attack	Verb	Warfare and hunting	http://www.omegawiki.org/DefinedMeaning:attack_(6561)		to attack	-		-	-	-	-
1744	THE CUTLASS	cutlass	20.99902	the cutlass	Noun	Warfare and hunting	http://www.omegawiki.org/DefinedMeaning:cutlass_(1511118)		cutlass	-		-	-	-	-
1750	TO FISH	fish	20.99908	to fish	Verb	Warfare and hunting	http://www.omegawiki.org/DefinedMeaning:fish_(1157951)		to fish	-		-	-	-	-
1745	THE FORCE	force	20.99903	the force	Noun	Warfare and hunting	http://www.omegawiki.org/DefinedMeaning:force_(6164),		force	-	http://www.omegawiki.org/DefinedMeaning:force_(1047782), http://www.omegawiki.org/DefinedMeaning:force_(1047801)	-	-	-	-
1748	THE WARSHIP	warship	20.99906	the warship	Noun	Warfare and hunting	http://www.omegawiki.org/DefinedMeaning:warship_(1511122)		warship	-		-	-	-	-
1751	TO WIN	win	20.99909	to win	Verb	Warfare and hunting	http://www.omegawiki.org/DefinedMeaning:win_(367675),		to win	-	http://www.omegawiki.org/DefinedMeaning:lograr_(483003)	-	-	-	-
1746	THE GAME ANIMAL	game animal	20.99904	the game animal	Noun	Warfare and hunting	NA		game animal	-		-	-	-	-
1747	THE LETTERWOOD BOW	letterwood bow	20.99905	the letterwood bow	Noun	Warfare and hunting	NA		letterwood bow	-		-	-	-	-
